SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC,TEAM_COUNT,player_name,season,player_id,season_type
2025-26,1626157,Karl-Anthony Towns,Karl-Anthony,1610612752,NYK,New York Knicks,0022500320,2025-12-02T00:00:00,NYK @ BOS,L,33.233333333333334,12,19,0.632,2,5,0.4,3,3,1.0,2,5,7,2,4,0,1,1,2,7,29,10,39.4,0,0,42.0,1,22,22,22,14,5,6,3,10,13,13,26,26,1,19,29,29,18,3,19,8,11,3,7,7,11,17,23,1,14,1,33:14,1,Karl-Anthony Towns,2025-26,1626157,Regular Season
2025-26,1626157,Karl-Anthony Towns,Karl-Anthony,1610612752,NYK,New York Knicks,0022500303,2025-11-30T00:00:00,NYK vs. TOR,W,31.033333333333335,8,15,0.533,1,4,0.25,5,7,0.714,3,5,8,2,4,0,0,2,3,5,22,3,30.6,0,0,33.0,1,1,1,1,22,9,12,7,17,18,18,18,14,27,12,29,26,18,3,19,15,21,8,14,12,19,28,23,1,25,1,31:02,1,Karl-Anthony Towns,2025-26,1626157,Regular Season
2025-26,1626157,Karl-Anthony Towns,Karl-Anthony,1610612752,NYK,New York Knicks,0022500074,2025-11-28T00:00:00,NYK vs. MIL,W,35.678333333333335,2,8,0.25,1,2,0.5,4,5,0.8,3,7,10,4,2,0,1,1,4,3,9,0,28.0,0,0,26.0,1,1,1,1,7,29,30,29,17,26,5,21,21,23,12,21,21,5,17,19,8,11,14,24,29,23,29,23,1,29,1,35:41,1,Karl-Anthony Towns,2025-26,1626157,Regular Season
2025-26,1626157,Karl-Anthony Towns,Karl-Anthony,1610612752,NYK,New York Knicks,0022500061,2025-11-26T00:00:00,NYK @ CHA,W,32.36666666666667,6,13,0.462,0,3,0.0,7,7,1.0,4,6,10,3,3,0,0,1,2,6,19,6,32.5,1,0,32.0,1,1,1,1,18,14,19,13,27,24,27,11,14,1,7,26,21,14,8,19,15,11,3,9,19,14,26,1,1,27,1,32:22,1,Karl-Anthony Towns,2025-26,1626157,Regular Season
2025-26,1626157,Karl-Anthony Towns,Karl-Anthony,1610612752,NYK,New York Knicks,0022500285,2025-11-24T00:00:00,NYK @ BKN,W,32.96666666666667,14,20,0.7,3,4,0.75,6,6,1.0,3,9,12,3,1,1,2,1,3,4,37,25,63.9,1,0,61.0,1,1,1,1,16,1,5,2,4,18,2,15,19,1,12,12,13,14,24,8,1,11,8,19,3,1,2,1,1,3,1,32:58,1,Karl-Anthony Towns,2025-26,1626157,Regular Season
2025-26,1626157,Karl-Anthony Towns,Karl-Anthony,1610612752,NYK,New York Knicks,0022500269,2025-11-22T00:00:00,NYK @ ORL,L,37.17166666666667,6,14,0.429,2,6,0.333,10,11,0.909,2,6,8,3,4,0,0,1,3,8,24,-14,34.1,0,0,37.0,1,22,22,22,4,14,16,18,10,7,17,2,3,15,19,26,26,14,3,19,15,11,8,3,11,30,23,23,1,18,1,37:10,1,Karl-Anthony Towns,2025-26,1626157,Regular Season
2025-26,1626157,Karl-Anthony Towns,Karl-Anthony,1610612752,NYK,New York Knicks,0022500262,2025-11-19T00:00:00,NYK @ DAL,W,34.82666666666667,6,16,0.375,1,6,0.167,5,9,0.556,4,10,14,6,3,2,0,0,4,5,18,4,46.8,1,0,43.0,1,1,1,1,10,14,10,25,17,7,25,18,6,28,7,7,7,1,8,2,15,1,14,14,21,18,12,1,1,12,1,34:50,1,Karl-Anthony Towns,2025-26,1626157,Regular Season
2025-26,1626157,Karl-Anthony Towns,Karl-Anthony,1610612752,NYK,New York Knicks,0022500244,2025-11-17T00:00:00,NYK @ MIA,L,32.61666666666667,7,19,0.368,1,7,0.143,7,7,1.0,4,11,15,2,4,0,1,2,5,6,22,3,42.0,1,0,42.0,1,22,22,22,17,11,6,27,17,5,26,11,14,1,7,5,4,18,3,19,8,21,24,9,12,19,15,1,1,14,1,32:37,1,Karl-Anthony Towns,2025-26,1626157,Regular Season
2025-26,1626157,Karl-Anthony Towns,Karl-Anthony,1610612752,NYK,New York Knicks,0022500039,2025-11-14T00:00:00,NYK vs. MIA,W,38.031666666666666,13,26,0.5,6,14,0.429,7,9,0.778,2,9,11,4,0,1,0,3,3,8,39,13,61.2,1,0,62.0,1,1,1,1,2,3,1,9,1,1,11,11,6,25,19,12,18,5,29,8,15,28,8,3,2,7,3,1,1,2,1,38:02,1,Karl-Anthony Towns,2025-26,1626157,Regular Season
2025-26,1626157,Karl-Anthony Towns,Karl-Anthony,1610612752,NYK,New York Knicks,0022500215,2025-11-12T00:00:00,NYK vs. ORL,L,34.51833333333333,6,15,0.4,1,4,0.25,2,2,1.0,2,10,12,4,2,1,0,0,5,2,15,-2,36.4,1,0,34.0,1,22,22,22,11,14,12,23,17,18,18,27,27,1,19,7,13,5,17,8,15,1,24,27,23,27,20,1,1,22,1,34:31,1,Karl-Anthony Towns,2025-26,1626157,Regular Season
