SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC,TEAM_COUNT,SEASON
2021-22,1630567,Scottie Barnes,Scottie,1610612761,TOR,Toronto Raptors,0022100208,2021-11-15T00:00:00,TOR @ POR,L,39.5,6,14,0.429,0,1,0.0,6,6,1.0,1,7,8,2,3,0,0,1,2,5,18,-7,27.6,0,0,28.0,1,44,44,44,14,33,20,54,38,51,38,3,10,1,54,10,24,46,8,50,37,45,23,12,24,49,50,14,1,46,1,39:30,1,2021-22
2021-22,1630567,Scottie Barnes,Scottie,1610612761,TOR,Toronto Raptors,0022100229,2021-11-18T00:00:00,TOR @ UTA,L,35.14833333333333,5,11,0.455,0,2,0.0,0,0,0.0,4,2,6,6,2,1,0,0,1,1,10,-10,27.2,0,0,24.0,1,44,44,44,42,45,46,44,38,31,38,53,54,53,13,67,46,7,21,19,37,1,3,58,58,59,51,14,1,53,1,35:09,1,2021-22
2021-22,1630567,Scottie Barnes,Scottie,1610612761,TOR,Toronto Raptors,0022100238,2021-11-19T00:00:00,TOR @ SAC,W,33.145,1,8,0.125,0,0,0.0,0,0,0.0,1,6,7,6,0,1,1,1,2,2,2,2,25.4,0,0,19.0,1,1,1,1,51,74,67,74,38,65,38,53,54,53,54,18,35,7,62,19,14,45,23,38,74,34,56,14,1,67,1,33:09,1,2021-22
2021-22,1630567,Scottie Barnes,Scottie,1610612761,TOR,Toronto Raptors,0022100252,2021-11-21T00:00:00,TOR @ GSW,L,28.283333333333335,3,11,0.273,2,3,0.667,2,7,0.286,5,8,13,5,2,2,0,1,4,4,10,-18,37.1,1,0,34.0,1,44,44,44,70,65,46,70,8,18,3,29,5,52,8,4,5,16,21,8,37,45,53,19,58,68,30,1,1,27,1,28:17,1,2021-22
2021-22,1630567,Scottie Barnes,Scottie,1610612761,TOR,Toronto Raptors,0022100272,2021-11-24T00:00:00,TOR @ MEM,W,39.083333333333336,8,14,0.571,1,3,0.333,0,0,0.0,3,6,9,3,3,0,0,0,1,1,17,18,29.3,0,0,30.0,1,1,1,1,17,11,20,16,14,18,22,53,54,53,20,18,13,40,8,50,37,1,3,58,28,10,48,14,1,37,1,39:05,1,2021-22
2021-22,1630567,Scottie Barnes,Scottie,1610612761,TOR,Toronto Raptors,0022100284,2021-11-26T00:00:00,TOR @ IND,L,35.47666666666667,5,9,0.556,0,0,0.0,7,9,0.778,3,4,7,4,1,2,1,2,4,7,17,-13,39.4,0,0,34.0,1,44,44,44,39,45,56,21,38,65,38,1,1,21,20,39,35,22,43,8,14,68,53,1,28,65,17,14,1,27,1,35:29,1,2021-22
2021-22,1630567,Scottie Barnes,Scottie,1610612761,TOR,Toronto Raptors,0022100302,2021-11-28T00:00:00,TOR vs. BOS,L,37.28333333333333,7,16,0.438,4,9,0.444,3,4,0.75,5,2,7,3,3,2,1,0,3,4,21,-22,39.9,0,0,41.0,1,44,44,44,29,20,14,51,1,2,19,15,18,22,8,67,35,40,8,8,14,1,41,19,9,71,14,14,1,8,1,37:17,1,2021-22
2021-22,1630567,Scottie Barnes,Scottie,1610612761,TOR,Toronto Raptors,0022100315,2021-11-30T00:00:00,TOR vs. MEM,L,37.833333333333336,8,16,0.5,3,6,0.5,0,0,0.0,2,5,7,3,4,2,4,1,1,2,19,-11,45.9,0,0,44.0,1,44,44,44,26,11,14,34,2,5,5,53,54,53,33,25,35,40,5,8,2,45,3,38,18,63,6,14,1,4,1,37:50,1,2021-22
2021-22,1630567,Scottie Barnes,Scottie,1610612761,TOR,Toronto Raptors,0022100329,2021-12-02T00:00:00,TOR vs. MIL,W,38.8,5,9,0.556,3,6,0.5,0,0,0.0,2,5,7,4,0,3,1,0,5,0,13,1,39.4,0,0,35.0,1,1,1,1,21,45,56,21,2,5,5,53,54,53,33,25,35,22,62,4,14,1,64,67,43,36,17,14,1,21,1,38:48,1,2021-22
2021-22,1630567,Scottie Barnes,Scottie,1610612761,TOR,Toronto Raptors,0022100351,2021-12-05T00:00:00,TOR vs. WAS,W,36.9,5,10,0.5,0,2,0.0,1,2,0.5,1,5,6,1,1,0,1,1,5,3,11,11,21.7,0,0,20.0,1,1,1,1,31,45,52,34,38,31,38,44,36,43,54,25,46,58,43,50,14,45,64,24,51,14,64,14,1,66,1,36:54,1,2021-22
