SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC,TEAM_COUNT,SEASON
2021-22,1630578,Alperen Sengun,Alperen,1610612745,HOU,Houston Rockets,0022100205,2021-11-15T00:00:00,HOU @ MEM,L,17.733333333333334,3,9,0.333,0,2,0.0,3,5,0.6,3,2,5,1,0,1,1,3,3,5,9,-22,22.5,0,0,19.0,1,19,19,19,48,33,20,57,25,16,25,18,14,38,8,47,32,50,64,17,21,69,30,9,36,69,37,9,1,40,1,17:44,1,2021-22
2021-22,1630578,Alperen Sengun,Alperen,1610612745,HOU,Houston Rockets,0022100221,2021-11-17T00:00:00,HOU @ OKC,L,5.033333333333333,0,2,0.0,0,0,0.0,0,0,0.0,2,0,2,0,1,0,0,1,0,0,0,-5,1.4,0,0,2.0,1,19,19,19,72,68,69,68,25,58,25,60,63,60,19,68,61,65,39,39,45,39,1,70,71,36,72,9,1,72,1,5:02,1,2021-22
2021-22,1630578,Alperen Sengun,Alperen,1610612745,HOU,Houston Rockets,0022100239,2021-11-20T00:00:00,HOU @ NYK,L,23.56,4,8,0.5,1,1,1.0,1,2,0.5,2,4,6,3,0,0,0,3,3,1,10,7,21.7,0,0,20.0,1,19,19,19,22,22,23,24,5,35,1,47,39,41,19,20,20,23,64,39,45,69,30,60,29,11,40,9,1,39,1,23:34,1,2021-22
2021-22,1630578,Alperen Sengun,Alperen,1610612745,HOU,Houston Rockets,0022100256,2021-11-22T00:00:00,HOU @ BOS,L,20.866666666666667,3,6,0.5,0,1,0.0,2,2,1.0,1,5,6,7,2,2,0,0,5,2,8,9,29.7,0,0,25.0,1,19,19,19,35,33,37,24,25,35,25,30,39,1,44,12,20,2,24,6,45,1,62,49,44,9,15,9,1,23,1,20:52,1,2021-22
2021-22,1630578,Alperen Sengun,Alperen,1610612745,HOU,Houston Rockets,0022100271,2021-11-24T00:00:00,HOU vs. CHI,W,16.183333333333334,4,7,0.571,2,3,0.667,3,5,0.6,1,3,4,2,1,1,0,0,3,4,13,7,22.8,0,0,23.0,1,1,1,1,54,22,29,23,2,8,11,18,14,38,44,33,41,37,39,17,45,1,30,18,16,11,36,9,1,29,1,16:11,1,2021-22
2021-22,1630578,Alperen Sengun,Alperen,1610612745,HOU,Houston Rockets,0022100297,2021-11-27T00:00:00,HOU vs. CHA,W,12.333333333333334,2,3,0.667,0,1,0.0,1,2,0.5,2,3,5,4,4,0,2,0,2,1,5,-13,19.0,0,0,18.0,1,1,1,1,69,48,64,8,25,35,25,47,39,41,19,33,32,9,6,39,5,1,12,60,57,58,46,9,1,47,1,12:20,1,2021-22
2021-22,1630578,Alperen Sengun,Alperen,1610612745,HOU,Houston Rockets,0022100308,2021-11-29T00:00:00,HOU vs. OKC,W,17.1,2,3,0.667,0,0,0.0,0,0,0.0,1,4,5,3,1,1,0,0,2,1,4,-11,16.5,0,0,14.0,1,1,1,1,49,48,64,8,25,58,25,60,63,60,44,20,32,23,39,17,45,1,12,60,65,51,53,9,1,58,1,17:06,1,2021-22
2021-22,1630578,Alperen Sengun,Alperen,1610612745,HOU,Houston Rockets,0022100326,2021-12-01T00:00:00,HOU @ OKC,W,13.408333333333333,2,4,0.5,0,0,0.0,1,1,1.0,0,2,2,4,0,2,2,1,4,2,5,-6,25.4,0,0,19.0,1,1,1,1,67,48,56,24,25,58,25,47,60,1,65,47,61,9,64,6,5,39,45,49,57,39,32,9,1,40,1,13:25,1,2021-22
2021-22,1630578,Alperen Sengun,Alperen,1610612745,HOU,Houston Rockets,0022100337,2021-12-03T00:00:00,HOU vs. ORL,W,18.55,3,6,0.5,1,3,0.333,6,7,0.857,1,2,3,5,1,0,1,0,1,7,13,4,26.1,0,0,24.0,1,1,1,1,44,33,37,24,5,8,17,2,4,21,44,47,55,4,39,39,21,1,4,1,16,14,28,9,1,26,1,18:33,1,2021-22
2021-22,1630578,Alperen Sengun,Alperen,1610612745,HOU,Houston Rockets,0022100352,2021-12-05T00:00:00,HOU vs. NOP,W,16.983333333333334,3,7,0.429,0,2,0.0,4,4,1.0,3,1,4,1,1,1,1,1,5,6,10,2,21.3,0,0,19.0,1,1,1,1,50,33,29,43,25,16,25,12,19,1,8,61,41,50,39,17,21,39,62,4,29,19,42,9,1,40,1,16:59,1,2021-22
