SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME_x,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,TEAM_NAME_y,abbreviation,SEASON,SEASON_TYPE
22025,1610612762,UTA,Utah Jazz,0022500087,2025-10-22,UTA vs. LAC,W,240,48,87,0.552,17,44,0.386,16,20,0.8,13,33,46,38,11,6,13,21,129,21,1,Utah Jazz,UTA,2025-26,Regular Season
22025,1610612762,UTA,Utah Jazz,0022500098,2025-10-24,UTA @ SAC,L,240,38,86,0.442,13,41,0.317,15,17,0.882,11,39,50,25,6,1,20,16,104,-1,1,Utah Jazz,UTA,2025-26,Regular Season
22025,1610612762,UTA,Utah Jazz,0022500120,2025-10-27,UTA vs. PHX,W,265,44,108,0.407,16,49,0.327,34,36,0.944,28,36,64,27,8,4,19,27,138,4,1,Utah Jazz,UTA,2025-26,Regular Season
22025,1610612762,UTA,Utah Jazz,0022500135,2025-10-29,UTA vs. POR,L,240,41,84,0.488,11,35,0.314,41,49,0.837,16,30,46,30,10,7,22,24,134,-2,1,Utah Jazz,UTA,2025-26,Regular Season
22025,1610612762,UTA,Utah Jazz,0022500025,2025-10-31,UTA @ PHX,L,240,30,80,0.375,12,37,0.324,24,32,0.75,12,36,48,23,4,3,21,22,96,-22,1,Utah Jazz,UTA,2025-26,Regular Season
22025,1610612762,UTA,Utah Jazz,0022500150,2025-11-02,UTA @ CHA,L,240,36,88,0.409,7,32,0.219,24,29,0.828,10,28,38,27,7,3,11,24,103,-23,1,Utah Jazz,UTA,2025-26,Regular Season
22025,1610612762,UTA,Utah Jazz,0022500158,2025-11-03,UTA @ BOS,W,240,38,84,0.452,9,31,0.29,20,25,0.8,15,40,55,23,4,2,19,21,105,2,1,Utah Jazz,UTA,2025-26,Regular Season
22025,1610612762,UTA,Utah Jazz,0022500172,2025-11-05,UTA @ DET,L,240,33,86,0.384,12,39,0.308,25,29,0.862,11,33,44,24,7,2,15,17,103,-11,1,Utah Jazz,UTA,2025-26,Regular Season
22025,1610612762,UTA,Utah Jazz,0022500036,2025-11-07,UTA @ MIN,L,240,35,94,0.372,9,39,0.231,18,25,0.72,16,24,40,28,11,3,18,22,97,-40,1,Utah Jazz,UTA,2025-26,Regular Season
22025,1610612762,UTA,Utah Jazz,0022500205,2025-11-10,UTA vs. MIN,L,240,38,95,0.4,17,52,0.327,20,24,0.833,16,34,50,30,5,5,15,24,113,-7,1,Utah Jazz,UTA,2025-26,Regular Season
