SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME_x,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,TEAM_NAME_y,abbreviation,SEASON,SEASON_TYPE
22021,1610612758,SAC,Sacramento Kings,0022100013,2021-10-20,SAC @ POR,W,240,42,92,0.457,17,41,0.415,23,29,0.793,7,36,43,24,6,4,10,22,124,3,1,Sacramento Kings,SAC,2021-22,Regular Season
22021,1610612758,SAC,Sacramento Kings,0022100026,2021-10-22,SAC vs. UTA,L,240,39,99,0.394,8,36,0.222,15,21,0.714,16,36,52,20,15,5,15,22,101,-9,1,Sacramento Kings,SAC,2021-22,Regular Season
22021,1610612758,SAC,Sacramento Kings,0022100039,2021-10-24,SAC vs. GSW,L,240,42,86,0.488,15,46,0.326,8,13,0.615,10,37,47,26,0,4,19,16,107,-12,1,Sacramento Kings,SAC,2021-22,Regular Season
22021,1610612758,SAC,Sacramento Kings,0022100062,2021-10-27,SAC @ PHX,W,240,42,95,0.442,15,38,0.395,11,15,0.733,8,32,40,28,7,6,12,20,110,3,1,Sacramento Kings,SAC,2021-22,Regular Season
22021,1610612758,SAC,Sacramento Kings,0022100074,2021-10-29,SAC @ NOP,W,240,40,80,0.5,9,27,0.333,24,25,0.96,3,42,45,19,4,5,14,20,113,4,1,Sacramento Kings,SAC,2021-22,Regular Season
22021,1610612758,SAC,Sacramento Kings,0022100089,2021-10-31,SAC @ DAL,L,240,38,96,0.396,7,36,0.194,16,20,0.8,17,39,56,20,6,3,13,19,99,-6,1,Sacramento Kings,SAC,2021-22,Regular Season
22021,1610612758,SAC,Sacramento Kings,0022100105,2021-11-02,SAC @ UTA,L,240,42,93,0.452,12,31,0.387,17,24,0.708,6,32,38,24,8,8,11,24,113,-6,1,Sacramento Kings,SAC,2021-22,Regular Season
22021,1610612758,SAC,Sacramento Kings,0022100118,2021-11-03,SAC vs. NOP,W,240,42,80,0.525,10,30,0.333,18,22,0.818,4,33,37,27,8,7,8,21,112,13,1,Sacramento Kings,SAC,2021-22,Regular Season
22021,1610612758,SAC,Sacramento Kings,0022100132,2021-11-05,SAC vs. CHA,W,240,48,87,0.552,22,44,0.5,22,26,0.846,13,43,56,29,5,1,18,21,140,30,1,Sacramento Kings,SAC,2021-22,Regular Season
22021,1610612758,SAC,Sacramento Kings,0022100143,2021-11-07,SAC vs. IND,L,240,31,84,0.369,10,34,0.294,19,22,0.864,8,25,33,20,14,6,12,18,91,-3,1,Sacramento Kings,SAC,2021-22,Regular Season
