SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME_x,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,TEAM_NAME_y,abbreviation,SEASON,SEASON_TYPE
22025,1610612751,BKN,Brooklyn Nets,0022500080,2025-10-22,BKN @ CHA,L,240,39,88,0.443,14,40,0.35,25,34,0.735,12,26,38,25,8,3,17,28,117,-19,1,Brooklyn Nets,BKN,2025-26,Regular Season
22025,1610612751,BKN,Brooklyn Nets,0022500091,2025-10-24,BKN vs. CLE,L,240,49,96,0.51,19,45,0.422,7,7,1.0,10,28,38,30,9,0,20,28,124,-7,1,Brooklyn Nets,BKN,2025-26,Regular Season
22025,1610612751,BKN,Brooklyn Nets,0022500105,2025-10-26,BKN @ SAS,L,240,34,87,0.391,16,50,0.32,23,24,0.958,11,23,34,22,9,0,12,30,107,-11,1,Brooklyn Nets,BKN,2025-26,Regular Season
22025,1610612751,BKN,Brooklyn Nets,0022500116,2025-10-27,BKN @ HOU,L,240,41,86,0.477,15,40,0.375,12,18,0.667,15,22,37,22,3,0,14,24,109,-28,1,Brooklyn Nets,BKN,2025-26,Regular Season
22025,1610612751,BKN,Brooklyn Nets,0022500130,2025-10-29,BKN vs. ATL,L,240,40,88,0.455,11,37,0.297,21,27,0.778,15,32,47,23,4,4,16,17,112,-5,1,Brooklyn Nets,BKN,2025-26,Regular Season
22025,1610612751,BKN,Brooklyn Nets,0022500149,2025-11-02,BKN vs. PHI,L,240,39,91,0.429,7,39,0.179,20,26,0.769,13,31,44,21,10,4,19,15,105,-24,1,Brooklyn Nets,BKN,2025-26,Regular Season
22025,1610612751,BKN,Brooklyn Nets,0022500156,2025-11-03,BKN vs. MIN,L,240,36,89,0.404,12,40,0.3,25,38,0.658,18,22,40,25,9,4,12,24,109,-16,1,Brooklyn Nets,BKN,2025-26,Regular Season
22025,1610612751,BKN,Brooklyn Nets,0022500173,2025-11-05,BKN @ IND,W,240,36,86,0.419,14,40,0.35,26,35,0.743,10,35,45,26,9,5,14,17,112,9,1,Brooklyn Nets,BKN,2025-26,Regular Season
22025,1610612751,BKN,Brooklyn Nets,0022500031,2025-11-07,BKN vs. DET,L,240,34,80,0.425,17,46,0.37,22,26,0.846,8,22,30,26,5,1,20,24,107,-18,1,Brooklyn Nets,BKN,2025-26,Regular Season
22025,1610612751,BKN,Brooklyn Nets,0022500192,2025-11-09,BKN @ NYK,L,240,33,82,0.402,14,45,0.311,18,24,0.75,15,23,38,21,5,8,19,25,98,-36,1,Brooklyn Nets,BKN,2025-26,Regular Season
