SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME_x,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,TEAM_NAME_y,abbreviation,SEASON,SEASON_TYPE
22025,1610612738,BOS,Boston Celtics,0022500083,2025-10-22,BOS vs. PHI,L,240,41,91,0.451,11,43,0.256,23,26,0.885,10,32,42,16,7,4,11,28,116,-1,1,Boston Celtics,BOS,2025-26,Regular Season
22025,1610612738,BOS,Boston Celtics,0022500018,2025-10-24,BOS @ NYK,L,240,35,82,0.427,15,44,0.341,10,15,0.667,8,29,37,19,10,7,16,25,95,-10,1,Boston Celtics,BOS,2025-26,Regular Season
22025,1610612738,BOS,Boston Celtics,0022500106,2025-10-26,BOS @ DET,L,240,40,94,0.426,15,45,0.333,18,24,0.75,12,26,38,17,11,8,12,26,113,-6,1,Boston Celtics,BOS,2025-26,Regular Season
22025,1610612738,BOS,Boston Celtics,0022500117,2025-10-27,BOS @ NOP,W,240,46,95,0.484,18,53,0.34,12,15,0.8,16,38,54,25,5,7,12,24,122,32,1,Boston Celtics,BOS,2025-26,Regular Season
22025,1610612738,BOS,Boston Celtics,0022500128,2025-10-29,BOS vs. CLE,W,240,42,95,0.442,21,57,0.368,20,24,0.833,18,35,53,29,11,3,10,19,125,20,1,Boston Celtics,BOS,2025-26,Regular Season
22025,1610612738,BOS,Boston Celtics,0022500021,2025-10-31,BOS @ PHI,W,240,44,101,0.436,14,45,0.311,7,12,0.583,16,29,45,26,8,7,10,24,109,1,1,Boston Celtics,BOS,2025-26,Regular Season
22025,1610612738,BOS,Boston Celtics,0022500146,2025-11-01,BOS vs. HOU,L,240,40,103,0.388,14,44,0.318,7,7,1.0,14,22,36,24,9,2,10,25,101,-27,1,Boston Celtics,BOS,2025-26,Regular Season
22025,1610612738,BOS,Boston Celtics,0022500158,2025-11-03,BOS vs. UTA,L,240,37,89,0.416,11,51,0.216,18,22,0.818,10,26,36,21,12,4,10,22,103,-2,1,Boston Celtics,BOS,2025-26,Regular Season
22025,1610612738,BOS,Boston Celtics,0022500174,2025-11-05,BOS vs. WAS,W,240,52,95,0.547,16,41,0.39,16,21,0.762,12,28,40,31,12,3,7,24,136,29,1,Boston Celtics,BOS,2025-26,Regular Season
22025,1610612738,BOS,Boston Celtics,0022500028,2025-11-07,BOS @ ORL,L,240,43,95,0.453,13,37,0.351,11,16,0.688,12,32,44,26,9,8,14,27,110,-13,1,Boston Celtics,BOS,2025-26,Regular Season
22025,1610612738,BOS,Boston Celtics,0022500193,2025-11-09,BOS @ ORL,W,240,40,85,0.471,13,33,0.394,18,25,0.72,13,28,41,22,10,2,14,27,111,4,1,Boston Celtics,BOS,2025-26,Regular Season
22025,1610612738,BOS,Boston Celtics,0022500209,2025-11-11,BOS @ PHI,L,240,36,92,0.391,13,38,0.342,15,19,0.789,13,40,53,23,4,6,11,17,100,-2,1,Boston Celtics,BOS,2025-26,Regular Season
22025,1610612738,BOS,Boston Celtics,0022500216,2025-11-12,BOS vs. MEM,W,240,50,99,0.505,21,51,0.412,10,12,0.833,18,40,58,34,4,8,11,20,131,36,1,Boston Celtics,BOS,2025-26,Regular Season
22025,1610612738,BOS,Boston Celtics,0022500233,2025-11-16,BOS vs. LAC,W,240,46,103,0.447,16,39,0.41,13,17,0.765,20,29,49,26,6,6,6,21,121,3,1,Boston Celtics,BOS,2025-26,Regular Season
22025,1610612738,BOS,Boston Celtics,0022500250,2025-11-18,BOS @ BKN,W,240,37,75,0.493,19,42,0.452,20,26,0.769,10,39,49,25,6,5,20,24,113,14,1,Boston Celtics,BOS,2025-26,Regular Season
22025,1610612738,BOS,Boston Celtics,0022500049,2025-11-21,BOS vs. BKN,L,240,42,90,0.467,11,34,0.324,10,14,0.714,14,30,44,24,7,1,13,25,105,-8,1,Boston Celtics,BOS,2025-26,Regular Season
22025,1610612738,BOS,Boston Celtics,0022500277,2025-11-23,BOS vs. ORL,W,240,53,88,0.602,15,33,0.455,17,22,0.773,7,30,37,29,6,8,5,21,138,9,1,Boston Celtics,BOS,2025-26,Regular Season
22025,1610612738,BOS,Boston Celtics,0022500060,2025-11-26,BOS vs. DET,W,240,38,87,0.437,20,43,0.465,21,24,0.875,12,32,44,24,9,7,13,27,117,3,1,Boston Celtics,BOS,2025-26,Regular Season
22025,1610612738,BOS,Boston Celtics,0022500293,2025-11-29,BOS @ MIN,L,240,45,96,0.469,16,46,0.348,9,15,0.6,14,29,43,24,10,7,11,21,115,-4,1,Boston Celtics,BOS,2025-26,Regular Season
22025,1610612738,BOS,Boston Celtics,0022500302,2025-11-30,BOS @ CLE,W,240,40,81,0.494,14,40,0.35,23,29,0.793,15,31,46,19,9,4,19,17,117,2,1,Boston Celtics,BOS,2025-26,Regular Season
22025,1610612738,BOS,Boston Celtics,0022500320,2025-12-02,BOS vs. NYK,W,240,49,87,0.563,13,40,0.325,12,14,0.857,11,27,38,18,6,3,10,20,123,6,1,Boston Celtics,BOS,2025-26,Regular Season
