SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME_x,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,TEAM_NAME_y,abbreviation,SEASON,SEASON_TYPE
22023,1610612738,BOS,Boston Celtics,0022300065,2023-10-25,BOS @ NYK,W,240,37,77,0.481,12,39,0.308,22,26,0.846,7,39,46,18,6,11,13,22,108,4,1,Boston Celtics,BOS,2023-24,Regular Season
22023,1610612738,BOS,Boston Celtics,0022300080,2023-10-27,BOS vs. MIA,W,240,45,95,0.474,16,39,0.41,13,19,0.684,16,39,55,20,7,6,15,19,119,8,1,Boston Celtics,BOS,2023-24,Regular Season
22023,1610612738,BOS,Boston Celtics,0022300103,2023-10-30,BOS @ WAS,W,240,51,102,0.5,19,53,0.358,5,7,0.714,15,36,51,31,11,6,18,21,126,19,1,Boston Celtics,BOS,2023-24,Regular Season
22023,1610612738,BOS,Boston Celtics,0022300118,2023-11-01,BOS vs. IND,W,240,54,95,0.568,20,35,0.571,27,28,0.964,11,46,57,27,5,2,13,19,155,51,1,Boston Celtics,BOS,2023-24,Regular Season
22023,1610612738,BOS,Boston Celtics,0022300136,2023-11-04,BOS @ BKN,W,240,43,90,0.478,15,45,0.333,23,27,0.852,10,40,50,22,4,6,11,17,124,10,1,Boston Celtics,BOS,2023-24,Regular Season
22023,1610612738,BOS,Boston Celtics,0022300154,2023-11-06,BOS @ MIN,L,265,36,92,0.391,11,39,0.282,26,34,0.765,11,34,45,20,13,2,18,26,109,-5,1,Boston Celtics,BOS,2023-24,Regular Season
22023,1610612738,BOS,Boston Celtics,0022300159,2023-11-08,BOS @ PHI,L,240,36,91,0.396,15,47,0.319,16,19,0.842,9,34,43,28,8,6,13,13,103,-3,1,Boston Celtics,BOS,2023-24,Regular Season
22023,1610612738,BOS,Boston Celtics,0022300010,2023-11-10,BOS vs. BKN,W,240,41,94,0.436,19,52,0.365,20,28,0.714,17,35,52,29,5,3,8,13,121,14,1,Boston Celtics,BOS,2023-24,Regular Season
22023,1610612738,BOS,Boston Celtics,0022300174,2023-11-11,BOS vs. TOR,W,240,47,86,0.547,15,44,0.341,8,13,0.615,5,41,46,30,1,4,13,14,117,23,1,Boston Celtics,BOS,2023-24,Regular Season
22023,1610612738,BOS,Boston Celtics,0022300188,2023-11-13,BOS vs. NYK,W,240,40,79,0.506,19,43,0.442,15,16,0.938,8,29,37,27,3,3,11,22,114,16,1,Boston Celtics,BOS,2023-24,Regular Season
