SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME_x,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,TEAM_NAME_y,abbreviation,SEASON,SEASON_TYPE
22021,1610612745,HOU,Houston Rockets,0022100008,2021-10-20,HOU @ MIN,L,240,40,88,0.455,11,33,0.333,15,22,0.682,12,29,41,21,13,3,24,25,106,-18,1,Houston Rockets,HOU,2021-22,Regular Season
22021,1610612745,HOU,Houston Rockets,0022100023,2021-10-22,HOU vs. OKC,W,240,48,95,0.505,17,38,0.447,11,14,0.786,10,44,54,29,12,10,17,18,124,33,1,Houston Rockets,HOU,2021-22,Regular Season
22021,1610612745,HOU,Houston Rockets,0022100037,2021-10-24,HOU vs. BOS,L,240,32,75,0.427,14,32,0.438,19,24,0.792,5,35,40,20,7,4,20,20,97,-10,1,Houston Rockets,HOU,2021-22,Regular Season
22021,1610612745,HOU,Houston Rockets,0022100052,2021-10-26,HOU @ DAL,L,240,36,86,0.419,16,39,0.41,18,26,0.692,11,38,49,24,7,3,17,21,106,-10,1,Houston Rockets,HOU,2021-22,Regular Season
22021,1610612745,HOU,Houston Rockets,0022100068,2021-10-28,HOU vs. UTA,L,240,31,95,0.326,9,44,0.205,20,23,0.87,13,28,41,15,8,3,11,24,91,-31,1,Houston Rockets,HOU,2021-22,Regular Season
22021,1610612745,HOU,Houston Rockets,0022100093,2021-10-31,HOU @ LAL,L,240,32,76,0.421,6,28,0.214,15,29,0.517,10,45,55,18,8,3,27,18,85,-10,1,Houston Rockets,HOU,2021-22,Regular Season
22021,1610612745,HOU,Houston Rockets,0022100107,2021-11-02,HOU @ LAL,L,240,48,91,0.527,16,42,0.381,5,12,0.417,11,27,38,27,8,4,25,21,117,-2,1,Houston Rockets,HOU,2021-22,Regular Season
22021,1610612745,HOU,Houston Rockets,0022100122,2021-11-04,HOU @ PHX,L,240,38,88,0.432,11,32,0.344,24,28,0.857,7,36,43,25,4,4,19,21,111,-12,1,Houston Rockets,HOU,2021-22,Regular Season
22021,1610612745,HOU,Houston Rockets,0022100133,2021-11-06,HOU @ DEN,L,240,35,75,0.467,8,28,0.286,16,24,0.667,7,40,47,19,8,6,17,16,94,-1,1,Houston Rockets,HOU,2021-22,Regular Season
22021,1610612745,HOU,Houston Rockets,0022100145,2021-11-07,HOU @ GSW,L,240,36,79,0.456,10,33,0.303,25,37,0.676,12,30,42,17,11,3,21,16,107,-13,1,Houston Rockets,HOU,2021-22,Regular Season
22021,1610612745,HOU,Houston Rockets,0022100162,2021-11-10,HOU vs. DET,L,240,35,82,0.427,12,34,0.353,22,34,0.647,8,34,42,17,5,5,16,20,104,-8,1,Houston Rockets,HOU,2021-22,Regular Season
22021,1610612745,HOU,Houston Rockets,0022100177,2021-11-12,HOU vs. POR,L,240,34,85,0.4,7,32,0.219,17,27,0.63,9,40,49,13,6,6,13,23,92,-12,1,Houston Rockets,HOU,2021-22,Regular Season
22021,1610612745,HOU,Houston Rockets,0022100195,2021-11-14,HOU vs. PHX,L,240,35,85,0.412,7,32,0.219,12,18,0.667,9,39,48,19,7,5,23,19,89,-26,1,Houston Rockets,HOU,2021-22,Regular Season
22021,1610612745,HOU,Houston Rockets,0022100205,2021-11-15,HOU @ MEM,L,240,36,95,0.379,11,38,0.289,19,26,0.731,14,32,46,24,6,5,18,16,102,-34,1,Houston Rockets,HOU,2021-22,Regular Season
22021,1610612745,HOU,Houston Rockets,0022100221,2021-11-17,HOU @ OKC,L,240,32,90,0.356,12,42,0.286,13,19,0.684,9,37,46,16,6,4,14,14,89,-12,1,Houston Rockets,HOU,2021-22,Regular Season
22021,1610612745,HOU,Houston Rockets,0022100239,2021-11-20,HOU @ NYK,L,240,38,84,0.452,10,39,0.256,13,22,0.591,13,35,48,21,5,8,22,21,99,-7,1,Houston Rockets,HOU,2021-22,Regular Season
22021,1610612745,HOU,Houston Rockets,0022100256,2021-11-22,HOU @ BOS,L,240,31,83,0.373,11,42,0.262,17,24,0.708,4,38,42,19,5,4,15,20,90,-18,1,Houston Rockets,HOU,2021-22,Regular Season
22021,1610612745,HOU,Houston Rockets,0022100271,2021-11-24,HOU vs. CHI,W,240,42,84,0.5,17,36,0.472,17,22,0.773,7,39,46,27,5,6,22,16,118,5,1,Houston Rockets,HOU,2021-22,Regular Season
22021,1610612745,HOU,Houston Rockets,0022100297,2021-11-27,HOU vs. CHA,W,265,51,95,0.537,23,49,0.469,21,31,0.677,10,31,41,36,5,4,15,25,146,3,1,Houston Rockets,HOU,2021-22,Regular Season
22021,1610612745,HOU,Houston Rockets,0022100308,2021-11-29,HOU vs. OKC,W,240,40,96,0.417,15,46,0.326,7,11,0.636,9,51,60,31,7,5,14,19,102,13,1,Houston Rockets,HOU,2021-22,Regular Season
22021,1610612745,HOU,Houston Rockets,0022100326,2021-12-01,HOU @ OKC,W,240,40,79,0.506,15,37,0.405,19,22,0.864,8,32,40,25,9,12,19,25,114,4,1,Houston Rockets,HOU,2021-22,Regular Season
22021,1610612745,HOU,Houston Rockets,0022100337,2021-12-03,HOU vs. ORL,W,240,44,92,0.478,17,47,0.362,13,15,0.867,7,28,35,33,7,5,12,16,118,2,1,Houston Rockets,HOU,2021-22,Regular Season
22021,1610612745,HOU,Houston Rockets,0022100352,2021-12-05,HOU vs. NOP,W,240,39,79,0.494,17,40,0.425,23,29,0.793,11,29,40,24,3,3,14,23,118,10,1,Houston Rockets,HOU,2021-22,Regular Season
22021,1610612745,HOU,Houston Rockets,0022100372,2021-12-08,HOU vs. BKN,W,240,40,81,0.494,14,41,0.341,20,29,0.69,9,29,38,23,9,9,14,23,114,10,1,Houston Rockets,HOU,2021-22,Regular Season
22021,1610612745,HOU,Houston Rockets,0022100386,2021-12-10,HOU vs. MIL,L,240,42,89,0.472,19,46,0.413,11,20,0.55,12,28,40,30,9,4,16,28,114,-9,1,Houston Rockets,HOU,2021-22,Regular Season
22021,1610612745,HOU,Houston Rockets,0022100395,2021-12-11,HOU @ MEM,L,240,38,77,0.494,11,33,0.333,19,29,0.655,12,28,40,25,5,6,16,25,106,-7,1,Houston Rockets,HOU,2021-22,Regular Season
22021,1610612745,HOU,Houston Rockets,0022100407,2021-12-13,HOU @ ATL,W,240,46,96,0.479,19,46,0.413,21,27,0.778,12,33,45,27,8,5,11,24,132,6,1,Houston Rockets,HOU,2021-22,Regular Season
22021,1610612745,HOU,Houston Rockets,0022100417,2021-12-15,HOU @ CLE,L,240,30,78,0.385,5,29,0.172,24,35,0.686,10,31,41,20,13,1,17,21,89,-35,1,Houston Rockets,HOU,2021-22,Regular Season
22021,1610612745,HOU,Houston Rockets,0022100431,2021-12-16,HOU vs. NYK,L,240,34,68,0.5,11,32,0.344,24,30,0.8,5,24,29,29,4,4,19,25,103,-13,1,Houston Rockets,HOU,2021-22,Regular Season
