SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME_x,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,TEAM_NAME_y,abbreviation,SEASON,SEASON_TYPE
22022,1610612750,MIN,Minnesota Timberwolves,0022200010,2022-10-19,MIN vs. OKC,W,240,39,94,0.415,10,38,0.263,27,33,0.818,14,41,55,25,6,5,14,21,115,7,1,Minnesota Timberwolves,MIN,2022-23,Regular Season
22022,1610612750,MIN,Minnesota Timberwolves,0022200025,2022-10-21,MIN vs. UTA,L,265,49,107,0.458,11,33,0.333,17,23,0.739,21,39,60,20,5,7,20,22,126,-6,1,Minnesota Timberwolves,MIN,2022-23,Regular Season
22022,1610612750,MIN,Minnesota Timberwolves,0022200041,2022-10-23,MIN @ OKC,W,240,46,88,0.523,10,34,0.294,14,22,0.636,12,42,54,24,9,3,15,17,116,10,1,Minnesota Timberwolves,MIN,2022-23,Regular Season
22022,1610612750,MIN,Minnesota Timberwolves,0022200050,2022-10-24,MIN vs. SAS,L,240,38,86,0.442,8,31,0.258,22,24,0.917,10,40,50,24,7,5,16,18,106,-9,1,Minnesota Timberwolves,MIN,2022-23,Regular Season
22022,1610612750,MIN,Minnesota Timberwolves,0022200062,2022-10-26,MIN vs. SAS,W,240,52,80,0.65,20,34,0.588,10,16,0.625,0,30,30,37,9,6,17,19,134,12,1,Minnesota Timberwolves,MIN,2022-23,Regular Season
22022,1610612750,MIN,Minnesota Timberwolves,0022200076,2022-10-28,MIN vs. LAL,W,240,41,99,0.414,13,40,0.325,16,24,0.667,14,35,49,27,13,8,10,21,111,9,1,Minnesota Timberwolves,MIN,2022-23,Regular Season
22022,1610612750,MIN,Minnesota Timberwolves,0022200092,2022-10-30,MIN @ SAS,L,240,40,99,0.404,4,29,0.138,14,20,0.7,16,29,45,21,11,7,11,23,98,-9,1,Minnesota Timberwolves,MIN,2022-23,Regular Season
22022,1610612750,MIN,Minnesota Timberwolves,0022200106,2022-11-01,MIN @ PHX,L,240,37,87,0.425,13,34,0.382,20,24,0.833,10,32,42,24,5,4,18,24,107,-9,1,Minnesota Timberwolves,MIN,2022-23,Regular Season
22022,1610612750,MIN,Minnesota Timberwolves,0022200129,2022-11-04,MIN vs. MIL,L,240,39,92,0.424,11,41,0.268,13,17,0.765,10,37,47,22,2,4,16,25,102,-13,1,Minnesota Timberwolves,MIN,2022-23,Regular Season
22022,1610612750,MIN,Minnesota Timberwolves,0022200137,2022-11-05,MIN vs. HOU,W,240,49,80,0.613,15,33,0.455,16,20,0.8,9,27,36,38,11,5,24,27,129,12,1,Minnesota Timberwolves,MIN,2022-23,Regular Season
22022,1610612750,MIN,Minnesota Timberwolves,0022200153,2022-11-07,MIN vs. NYK,L,240,38,81,0.469,11,41,0.268,20,24,0.833,4,35,39,28,7,8,18,18,107,-13,1,Minnesota Timberwolves,MIN,2022-23,Regular Season
22022,1610612750,MIN,Minnesota Timberwolves,0022200167,2022-11-09,MIN vs. PHX,L,240,41,78,0.526,9,27,0.333,26,32,0.813,8,30,38,26,4,6,19,22,117,-12,1,Minnesota Timberwolves,MIN,2022-23,Regular Season
22022,1610612750,MIN,Minnesota Timberwolves,0022200181,2022-11-11,MIN @ MEM,L,240,37,79,0.468,10,30,0.333,19,22,0.864,7,26,33,29,10,4,15,25,103,-11,1,Minnesota Timberwolves,MIN,2022-23,Regular Season
22022,1610612750,MIN,Minnesota Timberwolves,0022200193,2022-11-13,MIN @ CLE,W,240,46,82,0.561,12,24,0.5,25,34,0.735,11,36,47,30,5,4,13,30,129,5,1,Minnesota Timberwolves,MIN,2022-23,Regular Season
22022,1610612750,MIN,Minnesota Timberwolves,0022200212,2022-11-16,MIN @ ORL,W,240,46,88,0.523,12,36,0.333,22,28,0.786,8,32,40,28,15,6,11,15,126,18,1,Minnesota Timberwolves,MIN,2022-23,Regular Season
22022,1610612750,MIN,Minnesota Timberwolves,0022200237,2022-11-19,MIN @ PHI,W,240,40,85,0.471,12,36,0.333,20,24,0.833,8,35,43,28,9,2,20,25,112,3,1,Minnesota Timberwolves,MIN,2022-23,Regular Season
22022,1610612750,MIN,Minnesota Timberwolves,0022200252,2022-11-21,MIN vs. MIA,W,240,37,85,0.435,14,47,0.298,17,20,0.85,6,34,40,30,9,6,18,25,105,4,1,Minnesota Timberwolves,MIN,2022-23,Regular Season
22022,1610612750,MIN,Minnesota Timberwolves,0022200262,2022-11-23,MIN @ IND,W,240,47,77,0.61,8,22,0.364,13,17,0.765,8,42,50,31,9,10,23,18,115,14,1,Minnesota Timberwolves,MIN,2022-23,Regular Season
22022,1610612750,MIN,Minnesota Timberwolves,0022200272,2022-11-25,MIN @ CHA,L,240,41,96,0.427,9,41,0.22,17,18,0.944,11,34,45,24,7,9,16,27,108,-2,1,Minnesota Timberwolves,MIN,2022-23,Regular Season
22022,1610612750,MIN,Minnesota Timberwolves,0022200291,2022-11-27,MIN vs. GSW,L,240,39,88,0.443,14,35,0.4,22,29,0.759,6,25,31,22,7,2,14,19,114,-23,1,Minnesota Timberwolves,MIN,2022-23,Regular Season
22022,1610612750,MIN,Minnesota Timberwolves,0022200300,2022-11-28,MIN @ WAS,L,240,42,84,0.5,7,27,0.259,36,42,0.857,15,30,45,20,4,3,18,23,127,-15,1,Minnesota Timberwolves,MIN,2022-23,Regular Season
22022,1610612750,MIN,Minnesota Timberwolves,0022200317,2022-11-30,MIN vs. MEM,W,240,41,89,0.461,12,39,0.308,15,19,0.789,5,24,29,26,13,11,13,25,109,8,1,Minnesota Timberwolves,MIN,2022-23,Regular Season
22022,1610612750,MIN,Minnesota Timberwolves,0022200341,2022-12-03,MIN vs. OKC,L,240,47,89,0.528,10,30,0.333,24,30,0.8,12,32,44,25,13,10,23,23,128,-7,1,Minnesota Timberwolves,MIN,2022-23,Regular Season
22022,1610612750,MIN,Minnesota Timberwolves,0022200370,2022-12-07,MIN vs. IND,W,240,44,93,0.473,8,23,0.348,25,27,0.926,16,35,51,25,15,2,23,21,121,6,1,Minnesota Timberwolves,MIN,2022-23,Regular Season
22022,1610612750,MIN,Minnesota Timberwolves,0022200385,2022-12-09,MIN @ UTA,W,240,42,79,0.532,14,35,0.4,20,26,0.769,6,38,44,30,7,3,17,21,118,10,1,Minnesota Timberwolves,MIN,2022-23,Regular Season
22022,1610612750,MIN,Minnesota Timberwolves,0022200394,2022-12-10,MIN @ POR,L,240,45,83,0.542,10,23,0.435,18,24,0.75,4,24,28,22,11,4,13,21,118,-6,1,Minnesota Timberwolves,MIN,2022-23,Regular Season
22022,1610612750,MIN,Minnesota Timberwolves,0022200407,2022-12-12,MIN @ POR,L,240,46,93,0.495,10,27,0.37,10,19,0.526,7,30,37,25,12,2,10,19,112,-21,1,Minnesota Timberwolves,MIN,2022-23,Regular Season
22022,1610612750,MIN,Minnesota Timberwolves,0022200423,2022-12-14,MIN @ LAC,L,240,31,74,0.419,4,22,0.182,22,30,0.733,7,36,43,15,9,4,17,20,88,-11,1,Minnesota Timberwolves,MIN,2022-23,Regular Season
22022,1610612750,MIN,Minnesota Timberwolves,0022200435,2022-12-16,MIN @ OKC,W,240,43,87,0.494,12,25,0.48,14,25,0.56,11,32,43,23,16,6,16,18,112,2,1,Minnesota Timberwolves,MIN,2022-23,Regular Season
22022,1610612750,MIN,Minnesota Timberwolves,0022200449,2022-12-18,MIN vs. CHI,W,240,57,87,0.655,23,43,0.535,13,16,0.813,4,35,39,38,5,5,13,21,150,24,1,Minnesota Timberwolves,MIN,2022-23,Regular Season
22022,1610612750,MIN,Minnesota Timberwolves,0022200456,2022-12-19,MIN vs. DAL,W,240,42,89,0.472,12,31,0.387,20,24,0.833,9,35,44,19,5,4,11,24,116,10,1,Minnesota Timberwolves,MIN,2022-23,Regular Season
22022,1610612750,MIN,Minnesota Timberwolves,0022200473,2022-12-21,MIN vs. DAL,L,240,42,85,0.494,8,30,0.267,7,10,0.7,8,31,39,23,7,4,13,24,99,-5,1,Minnesota Timberwolves,MIN,2022-23,Regular Season
22022,1610612750,MIN,Minnesota Timberwolves,0022200482,2022-12-23,MIN @ BOS,L,240,44,91,0.484,10,32,0.313,11,15,0.733,11,34,45,25,3,8,17,18,109,-12,1,Minnesota Timberwolves,MIN,2022-23,Regular Season
22022,1610612750,MIN,Minnesota Timberwolves,0022200500,2022-12-26,MIN @ MIA,L,240,43,79,0.544,15,34,0.441,9,14,0.643,8,36,44,31,4,3,22,14,110,-3,1,Minnesota Timberwolves,MIN,2022-23,Regular Season
22022,1610612750,MIN,Minnesota Timberwolves,0022200520,2022-12-28,MIN @ NOP,L,240,42,83,0.506,10,29,0.345,24,32,0.75,5,30,35,18,6,8,11,28,118,-1,1,Minnesota Timberwolves,MIN,2022-23,Regular Season
22022,1610612750,MIN,Minnesota Timberwolves,0022200533,2022-12-30,MIN @ MIL,L,240,40,92,0.435,8,30,0.267,26,34,0.765,7,29,36,18,10,5,8,28,114,-9,1,Minnesota Timberwolves,MIN,2022-23,Regular Season
22022,1610612750,MIN,Minnesota Timberwolves,0022200544,2022-12-31,MIN vs. DET,L,240,36,83,0.434,10,34,0.294,22,26,0.846,9,30,39,17,6,5,15,22,104,-12,1,Minnesota Timberwolves,MIN,2022-23,Regular Season
22022,1610612750,MIN,Minnesota Timberwolves,0022200557,2023-01-02,MIN vs. DEN,W,240,45,87,0.517,13,36,0.361,21,27,0.778,11,30,41,29,7,4,12,22,124,13,1,Minnesota Timberwolves,MIN,2022-23,Regular Season
22022,1610612750,MIN,Minnesota Timberwolves,0022200571,2023-01-04,MIN vs. POR,W,240,39,76,0.513,9,24,0.375,26,36,0.722,8,25,33,25,8,6,15,30,113,7,1,Minnesota Timberwolves,MIN,2022-23,Regular Season
22022,1610612750,MIN,Minnesota Timberwolves,0022200587,2023-01-06,MIN vs. LAC,W,240,46,81,0.568,13,35,0.371,23,29,0.793,10,35,45,28,4,7,20,22,128,13,1,Minnesota Timberwolves,MIN,2022-23,Regular Season
22022,1610612750,MIN,Minnesota Timberwolves,0022200601,2023-01-08,MIN @ HOU,W,240,38,80,0.475,10,28,0.357,18,22,0.818,9,35,44,23,8,4,19,18,104,8,1,Minnesota Timberwolves,MIN,2022-23,Regular Season
22022,1610612750,MIN,Minnesota Timberwolves,0022200618,2023-01-11,MIN @ DET,L,240,43,88,0.489,16,33,0.485,16,21,0.762,13,23,36,22,7,2,19,22,118,-17,1,Minnesota Timberwolves,MIN,2022-23,Regular Season
22022,1610612750,MIN,Minnesota Timberwolves,0022200637,2023-01-13,MIN vs. PHX,W,240,47,90,0.522,10,28,0.357,17,20,0.85,4,33,37,24,13,3,15,22,121,5,1,Minnesota Timberwolves,MIN,2022-23,Regular Season
22022,1610612750,MIN,Minnesota Timberwolves,0022200645,2023-01-14,MIN vs. CLE,W,240,45,80,0.563,9,28,0.321,11,15,0.733,4,27,31,22,10,5,15,21,110,8,1,Minnesota Timberwolves,MIN,2022-23,Regular Season
22022,1610612750,MIN,Minnesota Timberwolves,0022200662,2023-01-16,MIN vs. UTA,L,240,46,101,0.455,18,41,0.439,15,18,0.833,16,25,41,28,9,6,6,20,125,-1,1,Minnesota Timberwolves,MIN,2022-23,Regular Season
22022,1610612750,MIN,Minnesota Timberwolves,0022200676,2023-01-18,MIN @ DEN,L,240,42,81,0.519,12,32,0.375,22,28,0.786,12,24,36,26,6,10,19,27,118,-4,1,Minnesota Timberwolves,MIN,2022-23,Regular Season
22022,1610612750,MIN,Minnesota Timberwolves,0022200680,2023-01-19,MIN vs. TOR,W,240,45,89,0.506,17,40,0.425,21,23,0.913,8,29,37,31,12,5,15,20,128,2,1,Minnesota Timberwolves,MIN,2022-23,Regular Season
22022,1610612750,MIN,Minnesota Timberwolves,0022200696,2023-01-21,MIN vs. HOU,W,240,38,83,0.458,17,41,0.415,20,24,0.833,3,27,30,20,12,9,12,26,113,9,1,Minnesota Timberwolves,MIN,2022-23,Regular Season
22022,1610612750,MIN,Minnesota Timberwolves,0022200709,2023-01-23,MIN @ HOU,L,240,41,91,0.451,16,42,0.381,16,22,0.727,12,29,41,19,8,7,19,22,114,-5,1,Minnesota Timberwolves,MIN,2022-23,Regular Season
22022,1610612750,MIN,Minnesota Timberwolves,0022200724,2023-01-25,MIN @ NOP,W,240,40,82,0.488,11,29,0.379,20,28,0.714,4,32,36,23,8,5,9,18,111,9,1,Minnesota Timberwolves,MIN,2022-23,Regular Season
22022,1610612750,MIN,Minnesota Timberwolves,0022200737,2023-01-27,MIN vs. MEM,W,240,44,86,0.512,13,35,0.371,10,15,0.667,9,36,45,31,12,6,20,19,111,11,1,Minnesota Timberwolves,MIN,2022-23,Regular Season
22022,1610612750,MIN,Minnesota Timberwolves,0022200746,2023-01-28,MIN vs. SAC,W,240,42,80,0.525,17,37,0.459,16,21,0.762,9,35,44,25,5,2,20,26,117,7,1,Minnesota Timberwolves,MIN,2022-23,Regular Season
