SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME_x,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,TEAM_NAME_y,abbreviation,SEASON,SEASON_TYPE
22022,1610612746,LAC,LA Clippers,0022200016,2022-10-20,LAC @ LAL,W,240,37,80,0.463,9,29,0.31,20,31,0.645,10,48,58,18,7,7,23,24,103,6,1,Los Angeles Clippers,LAC,2022-23,Regular Season
22022,1610612746,LAC,LA Clippers,0022200036,2022-10-22,LAC @ SAC,W,240,41,81,0.506,9,22,0.409,20,22,0.909,5,35,40,24,8,3,13,21,111,2,1,Los Angeles Clippers,LAC,2022-23,Regular Season
22022,1610612746,LAC,LA Clippers,0022200043,2022-10-23,LAC vs. PHX,L,240,36,82,0.439,9,32,0.281,14,20,0.7,9,34,43,16,10,0,15,18,95,-17,1,Los Angeles Clippers,LAC,2022-23,Regular Season
22022,1610612746,LAC,LA Clippers,0022200054,2022-10-25,LAC @ OKC,L,240,35,83,0.422,10,31,0.323,14,18,0.778,7,40,47,21,5,14,19,18,94,-14,1,Los Angeles Clippers,LAC,2022-23,Regular Season
22022,1610612746,LAC,LA Clippers,0022200067,2022-10-27,LAC @ OKC,L,240,44,82,0.537,9,28,0.321,13,18,0.722,10,34,44,21,6,5,20,17,110,-8,1,Los Angeles Clippers,LAC,2022-23,Regular Season
22022,1610612746,LAC,LA Clippers,0022200088,2022-10-30,LAC vs. NOP,L,240,36,86,0.419,11,39,0.282,8,13,0.615,8,31,39,24,3,6,15,15,91,-21,1,Los Angeles Clippers,LAC,2022-23,Regular Season
22022,1610612746,LAC,LA Clippers,0022200102,2022-10-31,LAC vs. HOU,W,240,37,87,0.425,9,36,0.25,12,17,0.706,8,38,46,23,7,10,14,18,95,2,1,Los Angeles Clippers,LAC,2022-23,Regular Season
22022,1610612746,LAC,LA Clippers,0022200112,2022-11-02,LAC @ HOU,W,240,41,84,0.488,12,33,0.364,15,19,0.789,9,34,43,20,10,6,15,20,109,8,1,Los Angeles Clippers,LAC,2022-23,Regular Season
22022,1610612746,LAC,LA Clippers,0022200126,2022-11-04,LAC @ SAS,W,240,42,80,0.525,15,33,0.455,14,19,0.737,3,41,44,26,6,5,16,25,113,7,1,Los Angeles Clippers,LAC,2022-23,Regular Season
22022,1610612746,LAC,LA Clippers,0022200143,2022-11-06,LAC vs. UTA,L,240,43,87,0.494,8,33,0.242,8,13,0.615,4,28,32,22,11,2,14,26,102,-8,1,Los Angeles Clippers,LAC,2022-23,Regular Season
22022,1610612746,LAC,LA Clippers,0022200158,2022-11-07,LAC vs. CLE,W,240,40,79,0.506,17,38,0.447,22,28,0.786,4,27,31,19,8,2,9,19,119,2,1,Los Angeles Clippers,LAC,2022-23,Regular Season
