SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME_x,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,TEAM_NAME_y,abbreviation,SEASON,SEASON_TYPE
22024,1610612756,PHX,Phoenix Suns,0022400071,2024-10-23,PHX @ LAC,W,265,38,78,0.487,15,38,0.395,25,34,0.735,4,38,42,25,12,9,22,23,116,3,1,Phoenix Suns,PHX,2024-25,Regular Season
22024,1610612756,PHX,Phoenix Suns,0022400085,2024-10-25,PHX @ LAL,L,240,42,82,0.512,17,37,0.459,15,17,0.882,5,29,34,35,8,4,17,26,116,-7,1,Phoenix Suns,PHX,2024-25,Regular Season
22024,1610612756,PHX,Phoenix Suns,0022400095,2024-10-26,PHX vs. DAL,W,240,36,80,0.45,14,39,0.359,28,37,0.757,7,40,47,26,3,4,11,17,114,12,1,Phoenix Suns,PHX,2024-25,Regular Season
22024,1610612756,PHX,Phoenix Suns,0022400111,2024-10-28,PHX vs. LAL,W,240,40,87,0.46,11,36,0.306,18,20,0.9,9,37,46,21,7,11,11,22,109,4,1,Phoenix Suns,PHX,2024-25,Regular Season
22024,1610612756,PHX,Phoenix Suns,0022400131,2024-10-31,PHX @ LAC,W,240,42,82,0.512,18,39,0.462,23,28,0.821,8,31,39,29,12,4,12,20,125,6,1,Phoenix Suns,PHX,2024-25,Regular Season
22024,1610612756,PHX,Phoenix Suns,0022400149,2024-11-02,PHX vs. POR,W,240,35,93,0.376,17,52,0.327,16,22,0.727,13,50,63,29,4,8,14,10,103,6,1,Phoenix Suns,PHX,2024-25,Regular Season
22024,1610612756,PHX,Phoenix Suns,0022400167,2024-11-04,PHX vs. PHI,W,240,42,82,0.512,11,32,0.344,23,26,0.885,9,34,43,24,6,4,14,16,118,2,1,Phoenix Suns,PHX,2024-25,Regular Season
22024,1610612756,PHX,Phoenix Suns,0022400178,2024-11-06,PHX vs. MIA,W,240,42,84,0.5,18,43,0.419,13,18,0.722,10,36,46,29,5,6,16,14,115,3,1,Phoenix Suns,PHX,2024-25,Regular Season
22024,1610612756,PHX,Phoenix Suns,0022400190,2024-11-08,PHX @ DAL,W,240,43,86,0.5,15,39,0.385,13,18,0.722,11,26,37,26,6,2,9,18,114,1,1,Phoenix Suns,PHX,2024-25,Regular Season
22024,1610612756,PHX,Phoenix Suns,0022400209,2024-11-10,PHX vs. SAC,L,265,44,105,0.419,18,57,0.316,12,15,0.8,8,40,48,30,11,3,12,19,118,-9,1,Phoenix Suns,PHX,2024-25,Regular Season
